Molecule,Total |Q2| (ring atoms),Total Qzz (ring atoms),|Q2| origin,Qzz origin,|Q2|(1),Q2(1)zz,|Q2|(-1),Q2(-1)zz
C6H4-CH2-2,103.16505091345188,108.28126138730107,126.28671136974855,125.60519313688916,91.38304440090442,87.56032246089835,91.38304440090442,87.56032246089835
C6H4-CH3-2,96.18334877256946,101.84457779402405,90.17460465080637,89.27040697081064,94.45956434825938,93.70701001089824,94.45956434825938,93.70701001089824
C6H4-NH-2,94.00026930471196,92.26223028415241,274.7133955637573,20.312367748158007,90.4802174089977,83.62305980534035,90.4802174089977,83.62305980534035
C6H4-NH2-2,100.98440329416405,108.08896484089195,251.94761790812285,174.723096209155,96.67454754432251,94.7533602910962,96.67454754432251,94.7533602910962
C6H4-OH-2,97.70672176454931,102.54662373516672,252.56262489363252,108.80822085286961,96.18621104474235,94.04308874821093,96.18621104474235,94.04308874821093
C6H4O2,87.48250982984716,78.71797711607972,285.4866502051765,-58.97100708721838,89.85292336888662,79.79894828992896,89.85292336888662,79.79894828992896
C6H5Be+,92.04907110139771,91.35489013388452,599.4192848830506,406.3680295986371,95.81380483611944,94.7029385549607,95.81380483611944,94.7029385549607
C6H5BH3-,106.992645459446,106.44242207571237,368.1240623725375,-147.9406243871787,98.84208666583294,96.75057717007014,103.75304465896843,97.49598511963252
C6H5CH2+,81.89396419688426,70.28972450119674,287.72579253576265,259.29915710621907,88.84826035084795,87.36856105496565,88.84826035084795,87.36856105496565
C6H5CH2+o,91.3089560029056,86.64230489590106,357.62070163009156,279.91767861639886,96.92526664959475,95.49658462216453,96.92526664959475,95.49658462216453
C6H5CH2-,124.15627239045759,133.48602478680104,173.51297117358303,-40.923835826764936,103.33617203737562,101.81061675311811,103.33617203737562,101.81061675311811
C6H5CH2-o,109.78143535808744,105.1379215560928,293.94176408239383,-161.42426025177093,97.40744931523709,96.21261297744323,97.40744931523709,96.21261297744323
C6H5CH3,100.33147447031861,94.60714636171605,93.00560826181503,92.92424126846127,98.092907011599,96.26323322435093,99.80982668024481,97.90809348269285
C6H5NH+,78.22142251432426,62.66038341096544,228.18572155560037,203.53251527459793,83.3507030258997,82.16896839907018,83.3507030258997,82.16896839907018
C6H5NH-,122.23549481138087,128.2790119021864,227.96642078926678,-75.46595317287735,101.59562958683954,99.09161470647206,101.59562958683954,99.09161470647206
C6H5NH2,103.5219021739375,101.28949438805108,155.14782076829806,137.3906587487108,97.56625793298674,95.54085252436224,100.30173637372432,98.05459443256689
C6H5NH3+,93.27375454451702,82.05530634601557,390.39371384245527,293.3732400817432,100.9709161867669,99.02312849006752,101.2007916609595,98.58322861890102
C6H5O+,75.37496628061821,55.93617315526439,165.58808377595795,156.1111453623426,78.89453321184476,76.78833391894013,78.89453321184476,76.78833391894013
C6H5O-,120.1593266121242,123.3814753753111,223.55415973079232,-94.51220382989143,100.48119011178143,96.79345549686255,100.48119011178143,96.79345549686255
C6H5OH,102.19505857377484,98.36986929458557,145.47242839722,105.88794343879344,97.80327979497808,95.39812327915976,97.80327979497808,95.39812327915976
C6H5OH2+,92.17030325602006,80.53779335839519,365.43440604707234,259.75763015845314,101.30163513323052,99.0727561831143,101.30163513323052,99.0727561831143
C6H6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
